CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
0,6,4,,,,1,,,1169,4,4,4,0,1,0,0,0,4,1,0,67,0,0,1,2,2,1,1,0,1
1,48,2,,,,1,,,5951,0,2,2,0,0,0,0,0,2,1,0,22,0,0,1,1,2,1,0,0,0
3,12,4,,,,,1,,2096,0,3,2,0,1,0,0,0,3,1,0,49,0,0,1,1,1,2,0,0,1
0,42,2,,,1,,,,7882,0,3,2,0,1,0,0,1,4,0,0,45,0,0,0,1,2,2,0,0,1
0,24,3,1,,,,,,4870,0,2,3,0,1,0,0,0,4,0,1,53,0,0,0,2,2,2,0,0,0
3,36,2,,,,,1,,9000,4,2,2,0,1,0,0,0,4,0,1,35,0,0,0,1,1,2,1,0,1
3,24,2,,,1,,,,2835,2,4,3,0,1,0,0,0,4,0,0,,0,0,1,1,2,1,0,0,1
1,36,2,,1,,,,,6948,0,2,2,0,1,0,0,0,2,0,0,35,0,1,0,1,3,1,1,0,1
3,12,2,,,,1,,,3059,3,3,2,1,0,0,0,0,4,1,0,61,0,0,1,1,1,1,0,0,1
1,30,4,1,,,,,,5234,0,0,4,0,0,1,0,0,2,0,0,28,0,0,1,2,3,1,0,0,0
1,12,2,1,,,,,,1295,0,1,3,0,0,0,0,0,1,0,0,25,0,1,0,1,2,1,0,0,0
0,48,2,,,,,,1,4308,0,1,3,0,0,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,0
1,12,2,,,,1,,,1567,0,2,1,0,0,0,0,0,1,0,0,22,0,0,1,1,2,1,1,0,1
0,24,4,1,,,,,,1199,0,4,4,0,1,0,0,0,4,0,0,60,0,0,1,2,1,1,0,0,0
0,15,2,1,,,,,,1400,0,2,2,0,0,0,0,0,4,0,0,28,0,1,0,1,2,1,0,0,1
0,24,2,,,,1,,,1282,1,2,4,0,0,0,0,0,2,0,0,,0,0,1,1,1,1,0,0,0
3,24,4,,,,1,,,2424,4,4,4,0,1,0,0,0,4,0,0,53,0,0,1,2,2,1,0,0,1
0,30,0,,,,,,1,8070,4,1,2,0,1,0,0,0,3,0,0,25,1,0,1,3,2,1,0,0,1
1,24,2,,1,,,,,12579,0,4,4,0,0,0,0,0,2,0,1,44,0,0,0,1,3,1,1,0,0
3,24,2,,,,1,,,3430,2,4,3,0,1,0,0,0,2,0,0,31,0,0,1,1,2,2,1,0,1
3,9,4,1,,,,,,2134,0,2,4,0,1,0,0,0,4,0,0,48,0,0,1,3,2,1,1,0,1
0,6,2,,,,1,,,2651,2,2,2,0,1,0,0,0,3,1,0,44,0,1,0,1,2,2,0,0,1
0,10,4,1,,,,,,2241,0,1,1,0,1,0,0,0,3,1,0,48,0,1,0,2,1,2,0,1,1
1,12,4,,1,,,,,1804,1,1,3,0,1,0,0,0,4,0,0,,0,0,1,1,2,1,0,0,1
3,10,4,,,1,,,,2069,4,2,2,0,0,1,0,0,1,0,0,26,0,0,1,2,2,1,0,1,1
0,6,2,,,1,,,,1374,0,2,1,0,1,0,0,0,2,1,0,36,1,0,1,1,1,1,1,0,1
3,6,0,,,,1,,,426,0,4,4,0,0,1,0,0,4,0,0,39,0,0,1,1,1,1,0,0,1
2,12,1,,,,1,,,409,3,2,3,0,0,0,0,0,3,1,0,42,0,1,0,2,2,1,0,0,1
1,7,2,,,,1,,,2415,0,2,3,0,1,0,0,1,2,1,0,34,0,0,1,1,2,1,0,0,1
0,60,3,,,,,,1,6836,0,4,3,0,1,0,0,0,4,0,1,63,0,0,1,2,2,1,1,0,0
1,18,2,,,,,,1,1913,3,1,3,0,0,1,0,0,3,1,0,36,1,0,1,1,2,1,1,0,1
0,24,2,,,1,,,,4020,0,2,2,0,1,0,0,0,2,0,0,27,1,0,1,1,2,1,0,0,1
1,18,2,1,,,,,,5866,1,2,2,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,1,0,1
3,12,4,,,,,,1,1264,4,4,4,0,1,0,0,0,4,0,1,57,0,1,0,1,1,1,0,0,1
2,12,2,,,1,,,,1474,0,1,4,0,0,0,0,0,1,0,0,,1,0,1,1,3,1,1,0,1
1,45,4,,,,1,,,4746,0,1,4,0,1,0,0,0,2,0,0,25,0,0,1,2,1,1,0,0,0
3,48,4,,,,,1,,6110,0,2,1,0,1,0,0,0,3,0,1,31,1,0,0,1,2,1,1,0,1
2,18,2,,,,1,,,2100,0,2,4,0,1,0,1,0,2,1,0,37,1,0,1,1,2,1,0,0,0
2,10,2,,,,,,,1225,0,2,2,0,1,0,0,0,2,0,0,37,0,0,1,1,2,1,1,0,1
1,9,2,,,,1,,,458,0,2,4,0,1,0,0,0,3,1,0,24,0,0,1,1,2,1,0,0,1
3,30,2,,,,1,,,2333,2,4,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,1,0,0,1
1,12,2,,,,1,,,1158,2,2,3,1,0,0,0,0,1,0,0,26,0,0,1,1,2,1,1,0,1
1,18,3,,,,,,,6204,0,2,2,0,1,0,0,0,4,1,0,44,0,0,1,1,1,2,1,0,1
0,30,4,,1,,,,,6187,1,3,1,0,0,1,0,0,4,0,0,24,0,1,0,2,2,1,0,0,1
0,48,4,,1,,,,,6143,0,4,4,0,0,0,0,0,4,0,1,,1,0,0,2,1,1,0,0,0
3,11,4,1,,,,,,1393,0,1,4,0,0,0,0,0,4,0,0,35,0,0,1,2,3,1,0,0,1
3,36,2,,,,1,,,2299,2,4,4,0,1,0,0,0,4,0,0,39,0,0,1,1,2,1,0,0,1
0,6,2,,1,,,,,1350,2,0,1,0,0,0,0,0,2,0,0,23,0,1,0,1,0,1,1,0,1
3,11,4,1,,,,,,7228,0,2,1,0,1,0,0,0,4,0,0,39,0,0,1,2,1,1,0,0,1
3,12,2,,,,1,,,2073,1,2,4,0,0,0,1,0,2,1,0,28,0,0,1,1,2,1,0,0,1
1,24,3,,,1,,,,2333,4,1,4,0,1,0,0,0,2,0,0,29,1,0,1,1,1,1,0,0,1
1,27,3,,1,,,,,5965,0,4,1,0,1,0,0,0,2,0,0,30,0,0,1,2,3,1,1,0,1
3,12,2,,,,1,,,1262,0,2,3,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,0,0,1
3,18,2,,1,,,,,3378,4,2,2,0,1,0,0,0,1,0,0,31,0,0,1,1,2,1,1,0,1
1,36,3,1,,,,,,2225,0,4,4,0,1,0,0,0,4,0,1,57,1,0,0,2,2,1,1,0,0
3,6,1,1,,,,,,782,4,2,1,0,1,0,0,1,2,1,0,26,1,0,1,1,1,2,0,0,1
1,12,2,,,,1,,,6468,4,0,2,0,1,0,0,0,1,0,1,52,0,0,1,1,3,1,1,0,0
3,36,4,,,,1,,,9566,0,2,2,0,0,0,0,0,2,0,0,31,1,0,1,2,2,1,0,0,1
2,18,2,1,,,,,,1961,0,4,3,0,0,0,0,0,2,0,0,23,0,0,1,1,3,1,0,0,1
0,36,4,,,1,,,,6229,0,1,4,0,0,0,1,0,4,0,1,23,0,1,0,2,1,1,1,0,0
1,9,2,,,,,,1,1391,0,2,2,0,0,1,0,0,1,1,0,27,1,0,1,1,2,1,1,0,1
1,15,4,,,,1,,,1537,4,4,4,0,1,0,0,1,4,1,0,50,0,0,1,2,2,1,1,0,1
1,36,0,,,,,,1,1953,0,4,4,0,1,0,0,0,4,0,1,61,0,0,0,1,3,1,1,0,0
1,48,0,,,,,,1,14421,0,2,2,0,1,0,0,0,2,0,0,25,0,0,1,1,2,1,1,0,0
3,24,2,,,,1,,,3181,0,1,4,0,0,0,0,0,4,0,0,26,0,0,1,1,2,1,1,0,1
3,27,2,,,,,,,5190,4,4,4,0,1,0,0,0,4,0,0,48,0,0,1,4,2,2,1,0,1
3,12,2,,,,1,,,2171,0,1,2,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0,1
1,12,2,1,,,,,,1007,3,2,4,0,0,1,0,0,1,1,0,22,0,0,1,1,2,1,0,0,1
3,36,2,,,,,1,,1819,0,2,4,0,1,0,0,0,4,0,1,37,1,0,0,1,2,1,1,0,0
3,36,2,,,,1,,,2394,4,2,4,0,0,0,0,0,4,0,0,25,0,0,1,1,2,1,0,0,1
3,36,2,,1,,,,,8133,0,2,1,0,0,0,0,0,2,0,0,30,1,0,1,1,2,1,0,0,1
3,7,4,,,,1,,,731,4,4,4,0,1,0,0,0,2,0,0,46,0,1,0,2,1,1,1,0,1
0,8,4,,,,,,,1164,0,4,3,0,1,0,0,0,4,0,1,51,1,0,0,2,3,2,1,0,1
1,42,4,,,,,,1,5955,0,3,2,0,0,0,0,0,1,1,0,41,1,0,1,2,1,1,0,0,1
0,36,2,,,,,1,,1977,4,4,4,0,1,0,0,0,4,0,1,40,0,0,1,1,3,1,1,0,0
0,12,4,,1,,,,,1526,0,4,4,0,1,0,0,0,4,0,1,66,0,0,0,2,3,1,0,0,1
0,42,2,,,,1,,,3965,0,1,4,0,1,0,0,0,3,0,0,34,0,0,1,1,2,1,0,0,0
1,11,3,,,,1,,,4771,0,3,2,0,1,0,0,0,4,0,0,51,0,0,1,1,2,1,0,0,1
3,54,0,,1,,,,,9436,4,2,2,0,1,0,0,0,2,0,0,39,0,0,1,1,1,2,0,0,1
1,30,2,,,1,,,,3832,0,1,2,0,0,1,0,0,1,0,0,22,0,0,1,1,2,1,0,0,1
3,24,2,,,,1,,,5943,4,1,1,0,0,0,0,0,1,0,0,44,0,0,1,2,2,1,1,0,0
3,15,2,,,,1,,,1213,2,4,4,0,1,0,0,0,3,0,0,47,1,0,1,1,2,1,1,0,1
3,18,2,,,,,,1,1568,1,2,3,0,0,0,0,0,4,0,0,24,0,1,0,1,1,1,0,0,1
0,24,2,,,,,,,1755,0,4,4,0,0,0,0,1,4,1,0,58,0,0,1,1,1,1,1,0,1
0,10,2,,,,1,,,2315,0,4,3,0,1,0,0,0,4,1,0,52,0,0,1,1,1,1,0,0,1
3,12,4,,,,,,1,1412,0,2,4,0,0,0,0,1,2,1,0,29,0,0,1,2,3,1,1,0,1
1,18,4,,,1,,,,1295,0,1,4,0,0,0,0,0,1,0,0,27,0,0,1,2,2,1,0,0,1
1,36,2,,,,,1,,12612,1,2,1,0,1,0,0,0,4,0,1,47,0,0,0,1,2,2,1,0,0
0,18,2,1,,,,,,2249,1,3,4,0,1,0,0,0,3,0,0,30,0,0,1,1,3,2,1,0,1
0,12,0,,,,,,,1108,0,3,4,0,1,0,0,0,3,1,0,28,0,0,1,2,2,1,0,0,0
3,12,4,,,,1,,,618,0,4,4,0,1,0,0,0,4,1,0,56,0,0,1,1,2,1,0,0,1
0,12,4,,1,,,,,1409,0,4,4,0,1,0,0,0,3,1,0,54,0,0,1,1,2,1,0,0,1
3,12,4,,,,1,,,797,4,4,4,0,0,0,0,0,3,0,0,,1,0,1,1,1,2,0,0,0
2,24,4,,,1,,,,3617,4,4,4,0,1,0,1,0,4,0,1,20,0,1,0,2,2,1,0,0,1
1,12,2,1,,,,,,1318,3,4,4,0,1,0,0,0,4,1,0,,0,0,1,1,2,1,1,0,1
1,54,0,,,,,,1,15945,0,1,3,0,1,0,0,0,4,0,1,58,0,1,0,1,2,1,1,0,0
3,12,4,,,,,1,,2012,4,3,4,0,0,0,0,0,2,0,0,61,0,0,1,1,2,1,0,0,1
1,18,2,,,,,,1,2622,1,2,4,0,1,0,0,0,4,0,0,34,0,0,1,1,2,1,0,0,1
1,36,4,,,,1,,,2337,0,4,4,0,1,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,1
1,20,3,,1,,,,,7057,4,3,3,0,1,0,0,0,4,0,0,36,1,1,0,2,3,2,1,0,1
3,24,2,1,,,,,,1469,1,4,4,0,0,1,0,0,4,1,0,41,0,1,0,1,1,1,0,0,1
1,36,2,,,,1,,,2323,0,3,4,0,1,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,1
3,6,3,,,,1,,,932,0,2,3,0,0,0,0,0,2,1,0,24,0,0,1,1,2,1,0,0,1
1,9,4,,,1,,,,1919,0,3,4,0,1,0,0,0,3,0,0,35,0,1,0,1,2,1,1,0,1
3,12,2,,1,,,,,2445,4,1,2,0,0,1,0,0,4,0,0,26,0,1,0,1,2,1,1,0,1
1,24,4,,,,,,,11938,0,2,2,0,1,0,1,0,3,0,0,39,0,0,1,2,3,2,1,0,0
3,18,1,1,,,,,,6458,0,4,2,0,1,0,0,0,4,0,1,39,1,0,1,2,3,2,1,0,0
1,12,2,1,,,,,,6078,0,3,2,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,0,0,1
0,24,2,,,1,,,,7721,4,1,1,0,0,0,0,0,2,0,0,30,0,0,1,1,2,1,1,1,1
1,14,2,,,,,,1,1410,2,4,1,0,0,1,0,0,2,1,0,35,0,0,1,1,2,1,1,0,1
1,6,3,,,,,,1,1449,1,4,1,1,0,0,0,0,2,0,0,31,1,0,1,2,2,2,0,0,1
2,15,2,,,,,1,,392,0,1,4,0,0,0,0,0,4,0,0,23,0,1,0,1,2,1,1,0,1
1,18,2,1,,,,,,6260,0,3,3,0,1,0,0,0,3,1,0,28,0,1,0,1,1,1,0,0,1
3,36,4,1,,,,,,7855,0,2,4,0,0,0,0,0,2,1,0,25,1,0,1,2,2,1,1,0,0
0,12,2,,,,1,,,1680,2,4,3,0,0,1,0,0,1,1,0,35,0,0,1,1,2,1,0,0,1
3,48,4,,,,1,,,3578,4,4,4,0,1,0,0,0,1,1,0,47,0,0,1,1,2,1,1,0,1
0,42,2,,,,1,,,7174,4,3,4,0,0,0,0,0,3,0,0,30,0,0,1,1,3,1,1,0,0
0,10,4,,,1,,,,2132,4,1,2,0,0,0,1,0,3,1,0,27,0,1,0,2,2,1,0,1,1
0,33,4,,,1,,,,4281,2,2,1,0,0,0,0,0,4,0,0,23,0,0,1,2,2,1,0,0,0
1,12,4,1,,,,,,2366,2,3,3,1,0,0,0,0,3,0,0,36,0,0,1,1,3,1,1,0,1
0,21,2,,,,1,,,1835,0,2,3,0,0,0,0,0,2,1,0,25,0,0,1,2,2,1,1,0,0
3,24,4,,1,,,,,3868,0,4,4,0,0,0,0,0,2,0,0,41,0,1,0,2,3,1,1,0,1
3,12,2,,,1,,,,1768,0,2,3,0,1,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,1
2,10,4,1,,,,,,781,0,4,4,0,1,0,0,0,4,0,1,63,0,0,0,2,2,1,1,0,1
1,18,2,,,1,,,,1924,4,1,4,0,0,0,0,0,3,1,0,27,0,1,0,1,2,1,0,0,0
0,12,4,1,,,,,,2119,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,0,0,1
0,12,2,,,,1,,,701,0,2,4,0,0,1,0,0,2,1,0,40,0,0,1,1,1,1,0,0,1
1,12,2,,,,,,,639,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,0
1,12,4,,1,,,,,1860,0,0,4,0,1,0,0,0,2,0,0,34,0,0,1,2,3,1,1,0,1
0,12,4,1,,,,,,3499,0,2,3,0,0,0,1,0,2,1,0,29,0,0,1,2,2,1,0,0,0
1,48,2,1,,,,,,8487,4,3,1,0,0,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0,1
0,36,3,,,,,1,,6887,0,2,4,0,1,0,0,0,3,0,0,29,1,0,1,1,2,1,1,0,0
3,15,2,,,1,,,,2800,0,1,2,0,1,0,0,0,3,0,0,27,1,0,1,2,1,1,0,0,1
3,18,2,,,1,,,,1984,0,2,4,0,1,0,0,0,4,0,1,47,1,0,0,2,2,1,0,0,1
3,60,2,,,,1,,,10144,1,3,2,0,0,0,0,0,4,1,0,21,0,0,1,1,2,1,1,0,1
3,12,4,,,,1,,,1240,4,4,4,0,0,0,0,0,2,1,0,38,0,0,1,2,2,1,1,0,1
3,27,3,,1,,,,,8613,3,2,2,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,1
1,12,2,,,,1,,,766,2,2,4,0,1,0,0,0,3,1,0,66,0,0,1,1,1,1,0,0,0
1,15,4,,,,1,,,2728,4,3,4,0,1,0,0,1,2,1,0,35,1,0,1,3,2,1,1,0,1
2,12,2,,,,1,,,1881,0,2,2,0,0,0,0,0,2,0,0,44,0,1,0,1,1,1,1,0,1
2,6,2,1,,,,,,709,3,1,2,0,0,1,0,0,2,1,0,27,0,0,1,1,0,1,0,1,1
1,36,2,,,,1,,,4795,0,1,4,0,0,0,0,0,1,0,1,30,0,0,1,1,3,1,1,0,1
0,27,2,,,,1,,,3416,0,2,3,0,1,0,0,0,2,0,0,27,0,0,1,1,3,1,0,0,1
0,18,2,,,1,,,,2462,0,2,2,0,1,0,0,0,2,0,0,22,0,0,1,1,2,1,0,0,0
3,21,4,,,1,,,,2288,0,1,4,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,1
1,48,1,,,,,,1,3566,1,3,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,1
0,6,4,1,,,,,,860,0,4,1,0,0,0,0,0,4,0,1,39,0,0,1,2,2,1,1,0,1
3,12,4,1,,,,,,682,1,3,4,0,0,0,0,0,3,0,0,51,0,0,1,2,2,1,1,0,1
0,36,4,,,1,,,,5371,0,2,3,0,1,0,0,1,2,0,0,28,0,0,1,2,2,1,0,0,1
3,18,4,,,,1,,,1582,3,4,4,0,1,0,0,0,4,0,0,46,0,0,1,2,2,1,0,0,1
3,6,2,,,,1,,,1346,1,4,2,0,1,0,0,0,4,0,1,42,1,0,0,1,2,2,1,0,1
3,10,2,,,,1,,,1924,0,2,1,0,1,0,0,0,4,0,0,38,0,0,1,1,2,1,1,1,1
2,36,2,,,,1,,,5848,0,2,4,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,0,0,1
1,24,4,,1,,,,,7758,3,4,2,0,0,0,0,0,4,0,1,29,0,1,0,1,2,1,0,0,1
1,24,3,,,,,,1,6967,1,3,4,0,1,0,0,0,4,0,0,36,0,1,0,1,3,1,1,0,1
0,12,2,,,1,,,,1282,0,2,2,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,0
0,9,4,,,,,,,1280,1,4,3,0,1,0,0,1,4,1,0,48,0,0,1,2,2,2,0,1,1
0,12,1,,,,,,,339,0,4,4,0,0,1,0,0,1,0,0,45,1,0,1,1,1,1,0,0,1
1,24,2,1,,,,,,3512,1,3,2,0,1,0,0,0,3,0,0,38,1,0,1,2,2,1,1,0,1
3,6,4,,,,1,,,1898,4,2,1,0,1,0,0,0,2,1,0,34,0,0,1,2,1,2,0,0,1
3,24,4,,,,1,,,2872,1,4,3,0,1,0,0,0,4,1,0,36,0,0,1,1,2,2,1,0,1
3,18,4,1,,,,,,1055,0,1,4,0,0,0,0,0,1,0,0,30,0,0,1,2,2,1,0,0,1
3,15,2,,,,,,,1262,2,3,4,0,1,0,0,0,3,0,0,36,0,0,1,2,2,1,1,0,1
1,10,2,1,,,,,,7308,0,0,2,0,1,0,0,0,4,0,1,70,1,0,0,1,3,1,1,0,1
3,36,2,1,,,,,,909,2,4,4,0,1,0,0,0,4,0,0,36,0,0,1,1,2,1,0,0,1
3,6,2,,,1,,,,2893,2,2,1,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,1,0,1
0,18,2,,,1,,,,1131,0,0,4,0,0,0,0,0,2,0,0,33,0,0,1,1,2,1,0,0,0
1,11,2,,,1,,,,1577,3,1,4,0,0,0,0,0,1,1,0,20,0,0,1,1,2,1,0,0,1
3,24,2,,,1,,,,3972,0,3,2,0,0,0,0,0,4,0,0,25,0,1,0,1,2,1,1,0,1
1,24,4,,,,,,1,1935,0,4,4,1,0,0,0,0,4,1,0,31,0,0,1,2,2,1,1,0,0
0,15,0,1,,,,,,950,0,4,4,0,1,0,0,0,3,0,0,33,0,1,0,2,2,2,0,0,0
3,12,2,,,1,,,,763,0,2,4,0,0,0,0,0,1,1,0,26,0,0,1,1,2,1,1,0,1
1,24,3,,,1,,,,2064,0,0,3,0,0,0,0,0,2,0,0,34,0,0,1,1,3,1,1,0,0
1,8,2,,,,1,,,1414,0,2,4,0,1,0,0,1,2,1,0,33,0,0,1,1,2,1,0,1,1
0,21,3,,,,,1,,3414,0,1,2,0,1,0,0,0,1,0,0,26,0,0,1,2,2,1,0,0,0
3,30,1,,1,,,,,7485,4,0,4,0,0,0,0,0,1,1,0,53,1,0,1,1,3,1,1,0,0
0,12,2,,,1,,,,2577,0,2,2,1,0,0,0,0,1,0,0,42,0,0,1,1,2,1,0,0,1
0,6,4,,,,1,,,338,2,4,4,0,1,0,0,0,4,0,0,52,0,0,1,2,2,1,0,0,1
3,12,2,,,,1,,,1963,0,3,4,0,1,0,0,0,2,0,0,31,0,1,0,2,3,2,1,0,1
0,21,4,1,,,,,,571,0,4,4,0,1,0,0,0,4,1,0,65,0,0,1,2,2,1,0,0,1
3,36,3,,,,,,1,9572,0,1,1,1,0,0,0,0,1,0,0,28,0,0,1,2,2,1,0,0,0
1,36,3,,,,,,1,4455,0,2,2,1,0,0,0,0,2,1,0,30,1,0,1,2,3,1,1,0,0
0,21,1,1,,,,,,1647,4,2,4,0,1,0,0,0,2,0,0,40,0,0,1,2,1,2,0,0,0
3,24,4,,,1,,,,3777,3,2,4,0,1,0,0,0,4,1,0,50,0,0,1,1,2,1,1,0,1
1,18,4,1,,,,,,884,0,4,4,0,1,0,0,0,4,0,0,36,1,0,1,1,2,2,1,0,0
3,15,4,,,,1,,,1360,0,2,4,0,1,0,0,0,2,0,0,31,0,0,1,2,2,1,0,0,1
1,9,1,,1,,,,,5129,0,4,2,0,0,0,0,0,4,0,1,74,1,0,0,1,3,2,1,0,0
1,16,4,1,,,,,,1175,0,0,2,0,1,0,0,0,3,0,0,68,0,0,0,3,0,1,1,0,1
0,12,2,,,,1,,,674,1,3,4,0,0,1,0,0,1,0,0,20,0,0,1,1,2,1,0,0,0
1,18,0,,,1,,,,3244,0,2,1,0,0,0,0,0,4,0,0,33,1,0,1,2,2,1,1,0,1
3,24,2,,,,,,1,4591,3,2,2,0,1,0,0,0,3,0,0,54,0,0,1,3,3,1,1,0,0
1,48,0,,,,,,1,3844,1,3,4,0,1,0,0,0,4,0,1,34,0,0,0,1,1,2,0,0,0
1,27,2,,,,,,1,3915,0,2,4,0,1,0,0,0,2,0,0,36,0,0,1,1,2,2,1,0,0
3,6,2,,,,1,,,2108,0,3,2,0,0,1,0,0,2,1,0,29,0,1,0,1,2,1,0,0,1
1,45,2,,,,1,,,3031,1,2,4,0,1,0,0,1,4,0,0,21,0,1,0,1,2,1,0,0,0
1,9,4,,,,,1,,1501,0,4,2,0,0,0,0,0,3,0,0,34,0,0,1,2,3,1,1,0,0
